X,Y,Z,labels,radius,ref,sph_phi,sph_radius,sph_theta,theta,type,urchan
28.762823435357603,-76.24736450995313,24.166906986885675,FC6,0.40823333333333334,,16.518000000000004,85.0,-69.332,69.332,,26
-28.762823435357593,76.24736450995313,24.166906986885675,CP5,0.40823333333333334,,16.518000000000004,85.0,110.668,-110.668,,27
-28.762823435357593,-76.24736450995313,24.166906986885675,CP6,0.40823333333333334,,16.518000000000004,85.0,-110.668,110.668,,28
23.301607180511127,70.07579868220873,-42.08821143569428,FT9,0.664888888888889,,-29.68000000000002,85.0,71.607,-71.607,,29
23.301607180511127,-70.07579868220873,-42.08821143569428,FT10,0.664888888888889,,-29.68000000000002,85.0,-71.607,71.607,,30
-23.30160718051113,70.07579868220873,-42.08821143569428,TP9,0.664888888888889,,-29.68000000000002,85.0,108.39300000000001,-108.39300000000001,,31
-23.30160718051113,-70.07579868220873,-42.08821143569428,TP10,0.664888888888889,,-29.68000000000002,85.0,-108.39300000000001,108.39300000000001,,32
80.0,-20.0,-55.0,HEOG,0.6872345315856949,,-33.70221568542509,99.12113800799504,-14.036243467926479,14.036243467926479,,33
79.99999999999999,-45.0,-43.00000000000001,VEOG,0.639454264719957,,-25.101767649592276,101.36074190730847,-29.357753542791272,29.357753542791272,,34
59.9127302448179,26.042093389975367,54.380824988956185,F1,0.27902777777777776,,39.775000000000006,84.99999999999999,23.492999999999995,-23.492999999999995,,36
59.87441276601175,-26.02543804214761,54.43097712368925,F2,0.2787833333333333,,39.819,84.99999999999999,-23.492999999999995,23.492999999999995,,37
2.1148042279527383e-15,34.53737403184571,77.66704445892344,C1,0.1331888888888889,,66.026,85.0,90.0,-90.0,,38
2.11920249382479e-15,-34.60920316454118,77.63506331752112,C2,0.13348333333333334,,65.973,85.0,-90.0,90.0,,39
-59.912730244817894,26.042093389975374,54.380824988956185,P1,0.27902777777777776,,39.775000000000006,84.99999999999999,156.507,-156.507,,40
-59.87441276601174,-26.02543804214761,54.430977123689246,P2,0.2787833333333333,,39.819,84.99999999999997,-156.507,156.507,,41
76.15276676848455,31.48279679848069,20.846813167733092,AF3,0.42112777777777777,,14.197000000000003,85.0,22.461,-22.461,,42
76.15276676848455,-31.48279679848069,20.846813167733092,AF4,0.42112777777777777,,14.197000000000003,85.0,-22.461,22.461,,43
30.95528495319153,59.27497817608923,52.47139502329684,FC3,0.28822222222222216,,38.12000000000002,85.0,62.425,-62.425,,44
30.95528495319153,-59.27497817608923,52.47139502329684,FC4,0.28822222222222216,,38.12000000000002,85.0,-62.425,62.425,,45
-30.955284953191512,59.274978176089235,52.47139502329684,CP3,0.28822222222222216,,38.12000000000002,85.0,117.57499999999999,-117.57499999999999,,46
-30.955284953191512,-59.274978176089235,52.47139502329684,CP4,0.28822222222222216,,38.12000000000002,85.0,-117.57499999999999,117.57499999999999,,47
-76.15276676848454,31.482796798480713,20.846813167733092,PO3,0.42112777777777777,,14.197000000000003,85.0,157.539,-157.539,,48
-76.15276676848454,-31.482796798480713,20.846813167733092,PO4,0.42112777777777777,,14.197000000000003,85.0,-157.539,157.539,,49
54.03788811325115,63.05822186454817,18.126425558867645,F5,0.43159444444444445,,12.312999999999999,85.0,49.405,-49.405,,50
54.02633404653858,-63.04473912257514,18.207583542531683,F6,0.43128333333333335,,12.369,85.0,-49.405,49.405,,51
4.949504829418186e-15,80.83154804902482,26.29183979865601,C5,0.3999,,18.018000000000004,85.0,90.0,-90.0,,52
4.949504829418186e-15,-80.83154804902482,26.29183979865601,C6,0.3999,,18.018000000000004,85.0,-90.0,90.0,,53
-54.037888113251135,63.05822186454818,18.126425558867645,P5,0.43159444444444445,,12.312999999999999,85.0,130.595,-130.595,,54
-54.02633404653857,-63.044739122575145,18.207583542531683,P6,0.43128333333333335,,12.369,85.0,-130.595,130.595,,55
68.69107635103231,49.70943131488795,-5.958898227616102,AF7,0.5223333333333333,,-4.019999999999998,85.0,35.892,-35.892,,56
68.72089942163154,-49.66890402811596,-5.95297869371352,AF8,0.5223111111111112,,-4.016000000000011,85.0,-35.85799999999998,35.85799999999998,,57
26.207503532593574,80.41001431187064,-8.508604877055598,FT7,0.5319166666666667,,-5.745000000000006,85.0,71.94800000000001,-71.94800000000001,,58
